neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-179622,rejected,disallowed_element,,,
libe-179658,rejected,disallowed_element,,,
libe-180078,rejected,disallowed_element,,,
libe-180604,rejected,disallowed_element,,,
libe-220919,rejected,disallowed_element,,,
libe-642767,rejected,not_closed_shell,,,
libe-642782,rejected,not_closed_shell,,,
libe-642809,rejected,not_closed_shell,,,
libe-642838,rejected,not_closed_shell,,,
libe-643030,rejected,not_closed_shell,,,
libe-643109,rejected,not_closed_shell,,,
libe-117394,rejected,disallowed_element,,,
libe-117395,rejected,disallowed_element,,,
libe-117398,rejected,disallowed_element,,,
libe-117400,rejected,disallowed_element,,,
libe-117401,rejected,disallowed_element,,,
libe-117402,rejected,disallowed_element,,,
libe-117406,rejected,disallowed_element,,,
libe-117411,rejected,disallowed_element,,,
libe-117413,rejected,disallowed_element,,,
libe-117429,rejected,disallowed_element,,,
libe-183300,rejected,disallowed_element,,,
libe-183458,rejected,disallowed_element,,,
libe-183524,rejected,disallowed_element,,,
libe-183601,rejected,disallowed_element,,,
libe-186288,rejected,disallowed_element,,,
libe-188443,rejected,disallowed_element,,,
libe-115762,rejected,mass_out_of_range,31.998,,
libe-224547,rejected,not_closed_shell,31.998,,
libe-118236,rejected,disallowed_element,,,
libe-118248,rejected,disallowed_element,,,
libe-118258,rejected,disallowed_element,,,
libe-118259,rejected,disallowed_element,,,
libe-118263,rejected,disallowed_element,,,
libe-118267,rejected,disallowed_element,,,
libe-118280,rejected,disallowed_element,,,
libe-118281,rejected,disallowed_element,,,
libe-118285,rejected,disallowed_element,,,
libe-118295,rejected,disallowed_element,,,
libe-118297,rejected,disallowed_element,,,
libe-118303,rejected,disallowed_element,,,
libe-637174,rejected,disallowed_element,,,
libe-226697,rejected,not_closed_shell,,,
libe-226698,rejected,not_closed_shell,,,
libe-226711,rejected,not_closed_shell,,,
libe-226723,rejected,not_closed_shell,,,
libe-226727,rejected,not_closed_shell,,,
libe-226739,rejected,not_closed_shell,,,
libe-226746,rejected,not_closed_shell,,,
libe-226757,rejected,not_closed_shell,,,
libe-226759,rejected,not_closed_shell,,,
libe-226764,rejected,not_closed_shell,,,
libe-226768,rejected,not_closed_shell,,,
libe-226785,rejected,not_closed_shell,,,
libe-226788,rejected,not_closed_shell,,,
libe-640783,rejected,not_closed_shell,,,
libe-640945,rejected,not_closed_shell,,,
libe-118027,rejected,missing_cation_match,132.071,,
libe-118033,accepted,,132.071,libe-132011,libe-132025
libe-118044,rejected,missing_cation_match,132.071,,
